Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
173,1951,45,499,1,2,2,0,0,0,549,0.9180327868852459
174,1949,45,501,1,2,2,0,0,0,551,0.9183303085299456
175,1951,45,499,1,2,2,0,0,0,549,0.9180327868852459
176,1949,45,501,1,2,2,0,0,0,551,0.9183303085299456
177,1944,45,506,1,2,2,0,0,0,556,0.9190647482014388
178,1948,45,502,1,2,2,0,0,0,552,0.9184782608695652
179,1949,45,501,1,2,2,0,0,0,551,0.9183303085299456
180,1945,45,505,1,2,2,0,0,0,555,0.918918918918919
181,1946,45,504,1,2,2,0,0,0,554,0.9187725631768953
182,1945,44,505,2,2,2,0,0,0,555,0.9207207207207208
183,1946,44,504,2,2,2,0,0,0,554,0.9205776173285198
184,1945,44,505,2,2,2,0,0,0,555,0.9207207207207208
185,1948,44,503,1,2,2,0,0,0,552,0.9202898550724637
186,1946,44,505,1,2,2,0,0,0,554,0.9205776173285198
187,1948,44,503,1,2,2,0,0,0,552,0.9202898550724637
188,1950,45,500,1,2,2,0,0,0,550,0.9181818181818182
189,1953,45,497,1,2,2,0,0,0,547,0.9177330895795247
190,1956,45,494,1,2,2,0,0,0,544,0.9172794117647058
191,1952,45,498,1,2,2,0,0,0,548,0.9178832116788321
192,1949,45,501,1,2,2,0,0,0,551,0.9183303085299456
193,1947,45,503,1,2,2,0,0,0,553,0.918625678119349
194,1947,45,503,1,2,2,0,0,0,553,0.918625678119349
195,1947,45,503,1,2,2,0,0,0,553,0.918625678119349
196,1948,45,502,1,2,2,0,0,0,552,0.9184782608695652
197,1949,45,501,1,2,2,0,0,0,551,0.9183303085299456
198,1951,45,499,1,2,2,0,0,0,549,0.9180327868852459
199,1945,45,505,1,2,2,0,0,0,555,0.918918918918919
200,1942,45,508,1,2,2,0,0,0,558,0.9193548387096774
201,1941,45,509,1,2,2,0,0,0,559,0.9194991055456172
202,1946,45,504,1,2,2,0,0,0,554,0.9187725631768953
203,1942,45,508,1,2,2,0,0,0,558,0.9193548387096774
204,1942,45,508,1,2,2,0,0,0,558,0.9193548387096774
205,1945,45,505,1,2,2,0,0,0,555,0.918918918918919
206,1943,45,507,1,2,2,0,0,0,557,0.9192100538599641
207,1942,44,509,1,2,2,0,0,0,558,0.921146953405018
208,1950,44,501,1,2,2,0,0,0,550,0.92
209,1947,44,504,1,2,2,0,0,0,553,0.9204339963833634
210,1949,44,502,1,2,2,0,0,0,551,0.9201451905626135
211,1948,44,503,1,2,2,0,0,0,552,0.9202898550724637
212,1947,44,504,1,2,2,0,0,0,553,0.9204339963833634
213,1947,44,504,1,2,2,0,0,0,553,0.9204339963833634
214,1944,44,507,1,2,2,0,0,0,556,0.920863309352518
215,1947,44,504,1,2,2,0,0,0,553,0.9204339963833634
216,1948,44,503,1,2,2,0,0,0,552,0.9202898550724637
217,1949,44,502,1,2,2,0,0,0,551,0.9201451905626135
218,1950,44,501,1,2,2,0,0,0,550,0.92
219,1948,44,503,1,2,2,0,0,0,552,0.9202898550724637
220,1952,44,499,1,2,2,0,0,0,548,0.9197080291970803
221,1950,44,501,1,2,2,0,0,0,550,0.92
222,1954,44,497,1,2,2,0,0,0,546,0.9194139194139194
223,1953,44,498,1,2,2,0,0,0,547,0.9195612431444241
224,1956,44,495,1,2,2,0,0,0,544,0.9191176470588235
225,1957,44,494,1,2,2,0,0,0,543,0.9189686924493554
226,1953,44,498,1,2,2,0,0,0,547,0.9195612431444241
227,1952,44,499,1,2,2,0,0,0,548,0.9197080291970803
228,1957,44,494,1,2,2,0,0,0,543,0.9189686924493554
229,1959,44,492,1,2,2,0,0,0,541,0.9186691312384473
230,1957,44,494,1,2,2,0,0,0,543,0.9189686924493554
231,1960,44,491,1,2,2,0,0,0,540,0.9185185185185185
232,1951,44,500,1,2,2,0,0,0,549,0.9198542805100182
233,1948,44,503,1,2,2,0,0,0,552,0.9202898550724637
234,1946,44,504,1,3,2,0,0,0,554,0.9205776173285198
235,1952,44,498,1,3,2,0,0,0,548,0.9197080291970803
236,1954,44,496,1,3,2,0,0,0,546,0.9194139194139194
237,1951,44,499,1,3,2,0,0,0,549,0.9198542805100182
238,1948,44,502,1,3,2,0,0,0,552,0.9202898550724637
239,1947,44,503,1,3,2,0,0,0,553,0.9204339963833634
240,1949,44,501,1,3,2,0,0,0,551,0.9201451905626135
241,1952,44,498,1,3,2,0,0,0,548,0.9197080291970803
242,1950,44,500,1,3,2,0,0,0,550,0.92
243,1954,44,496,1,3,2,0,0,0,546,0.9194139194139194
244,1959,44,491,1,3,2,0,0,0,541,0.9186691312384473
245,1961,44,488,1,4,2,0,0,0,539,0.9183673469387755
246,1962,44,487,1,4,2,0,0,0,538,0.9182156133828996
247,1964,44,485,1,4,2,0,0,0,536,0.917910447761194
248,1962,44,487,1,4,2,0,0,0,538,0.9182156133828996
249,1959,44,490,1,4,2,0,0,0,541,0.9186691312384473
250,1958,44,490,1,5,2,0,0,0,542,0.9188191881918819
251,1959,44,489,1,5,2,0,0,0,541,0.9186691312384473
252,1962,43,487,1,5,2,0,0,0,538,0.9200743494423792
253,1961,43,488,1,5,2,0,0,0,539,0.9202226345083488
254,1963,43,487,0,5,2,0,0,0,537,0.9199255121042831
255,1969,43,481,0,5,2,0,0,0,531,0.9190207156308852
256,1966,41,486,0,5,2,0,0,0,534,0.9232209737827716
257,1964,41,488,0,5,2,0,0,0,536,0.9235074626865671
258,1961,41,491,0,5,2,0,0,0,539,0.9239332096474954
259,1963,41,489,0,5,2,0,0,0,537,0.9236499068901304
260,1957,41,494,0,5,2,1,0,0,543,0.9244935543278084
261,1960,41,491,0,5,2,1,0,0,540,0.924074074074074
262,1957,41,494,0,5,2,1,0,0,543,0.9244935543278084
263,1954,41,497,0,5,2,1,0,0,546,0.924908424908425
264,1954,41,497,0,5,2,1,0,0,546,0.924908424908425
265,1959,40,493,0,5,2,1,0,0,541,0.9260628465804066
266,1961,40,491,0,5,2,1,0,0,539,0.9257884972170687
267,1965,40,487,0,5,2,1,0,0,535,0.9252336448598131
268,1964,40,488,0,5,2,1,0,0,536,0.9253731343283582
269,1965,40,487,0,5,2,1,0,0,535,0.9252336448598131
270,1960,40,492,0,5,2,1,0,0,540,0.9259259259259259
271,1960,40,492,0,5,2,1,0,0,540,0.9259259259259259
272,1957,40,495,0,5,2,1,0,0,543,0.9263351749539595
273,1957,40,495,0,5,2,1,0,0,543,0.9263351749539595
274,1959,40,493,0,5,2,1,0,0,541,0.9260628465804066
275,1962,40,490,0,5,2,1,0,0,538,0.9256505576208178
276,1958,40,494,0,5,2,1,0,0,542,0.9261992619926199
277,1958,40,494,0,5,2,1,0,0,542,0.9261992619926199
278,1957,40,495,0,5,2,1,0,0,543,0.9263351749539595
279,1952,40,500,0,5,2,1,0,0,548,0.927007299270073
280,1954,40,498,0,5,2,1,0,0,546,0.9267399267399268
281,1954,40,497,0,5,2,2,0,0,546,0.9267399267399268
282,1953,40,498,0,5,2,2,0,0,547,0.926873857404022
283,1951,40,500,0,5,2,2,0,0,549,0.9271402550091075
284,1953,39,499,0,5,2,2,0,0,547,0.9287020109689214
285,1957,39,495,0,5,2,2,0,0,543,0.9281767955801105
286,1956,39,495,0,6,2,2,0,0,544,0.9283088235294118
287,1958,39,493,0,6,2,2,0,0,542,0.9280442804428044
288,1963,39,488,0,6,2,2,0,0,537,0.9273743016759777
289,1962,39,489,0,6,2,2,0,0,538,0.9275092936802974
290,1959,39,492,0,6,2,2,0,0,541,0.9279112754158965
291,1963,39,488,0,6,2,2,0,0,537,0.9273743016759777
292,1963,39,488,0,6,2,2,0,0,537,0.9273743016759777
293,1959,38,493,0,6,2,2,0,0,541,0.9297597042513863
294,1960,37,495,0,4,2,2,0,0,540,0.9314814814814815
295,1962,37,493,0,4,2,2,0,0,538,0.9312267657992565
296,1962,37,493,0,4,2,2,0,0,538,0.9312267657992565
297,1963,38,491,0,4,2,2,0,0,537,0.9292364990689013
298,1956,38,498,0,4,2,2,0,0,544,0.9301470588235294
299,1956,38,498,0,4,2,2,0,0,544,0.9301470588235294
300,1966,38,488,0,4,2,2,0,0,534,0.9288389513108615
301,1966,38,488,0,4,2,2,0,0,534,0.9288389513108615
302,1960,38,493,0,5,2,2,0,0,540,0.9296296296296296
303,1962,38,490,0,5,2,3,0,0,538,0.929368029739777
304,1967,38,485,0,5,2,3,0,0,533,0.9287054409005628
305,1966,38,486,0,5,2,3,0,0,534,0.9288389513108615
306,1964,38,487,0,6,2,3,0,0,536,0.9291044776119403
307,1963,37,489,0,6,2,3,0,0,537,0.931098696461825
308,1967,37,485,0,6,2,3,0,0,533,0.9305816135084428
309,1968,37,484,0,6,2,3,0,0,532,0.9304511278195489
310,1967,37,485,0,6,2,3,0,0,533,0.9305816135084428
311,1958,37,494,0,6,2,3,0,0,542,0.9317343173431735
312,1962,37,490,0,6,2,3,0,0,538,0.9312267657992565
313,1963,37,489,0,6,2,3,0,0,537,0.931098696461825
314,1963,37,489,0,6,2,3,0,0,537,0.931098696461825
315,1963,37,489,0,6,2,3,0,0,537,0.931098696461825
316,1961,37,491,0,6,2,3,0,0,539,0.9313543599257885
317,1963,37,489,0,6,2,3,0,0,537,0.931098696461825
318,1965,37,488,0,5,2,3,0,0,535,0.930841121495327
319,1968,37,485,0,5,2,3,0,0,532,0.9304511278195489
320,1971,36,483,0,5,2,3,0,0,529,0.9319470699432892
321,1971,36,484,0,4,2,3,0,0,529,0.9319470699432892
322,1973,36,482,0,4,2,3,0,0,527,0.9316888045540797
323,1972,36,483,0,4,2,3,0,0,528,0.9318181818181818
324,1971,36,484,0,4,2,3,0,0,529,0.9319470699432892
325,1969,36,486,0,4,2,3,0,0,531,0.9322033898305084
326,1970,36,485,0,4,2,3,0,0,530,0.9320754716981132
327,1975,36,480,0,4,2,3,0,0,525,0.9314285714285714
328,1976,36,479,0,4,2,3,0,0,524,0.9312977099236641
329,1975,36,479,0,5,2,3,0,0,525,0.9314285714285714
330,1974,36,480,0,5,2,3,0,0,526,0.9315589353612167
331,1970,36,484,0,5,2,3,0,0,530,0.9320754716981132
332,1970,36,484,0,5,2,3,0,0,530,0.9320754716981132
333,1970,36,485,0,4,2,3,0,0,530,0.9320754716981132
334,1970,36,484,0,5,2,3,0,0,530,0.9320754716981132
335,1967,36,487,0,5,2,3,0,0,533,0.9324577861163227
336,1967,36,487,0,5,2,3,0,0,533,0.9324577861163227
337,1967,36,487,0,5,2,3,0,0,533,0.9324577861163227
338,1965,36,489,0,5,2,3,0,0,535,0.9327102803738317
339,1958,36,496,0,5,2,3,0,0,542,0.933579335793358
340,1955,36,499,0,5,2,3,0,0,545,0.9339449541284404
341,1955,36,499,0,5,2,3,0,0,545,0.9339449541284404
342,1958,36,496,0,5,2,3,0,0,542,0.933579335793358
343,1958,36,496,0,5,2,3,0,0,542,0.933579335793358
344,1956,36,498,0,5,2,3,0,0,544,0.9338235294117647
345,1956,36,498,0,5,2,3,0,0,544,0.9338235294117647
346,1956,36,498,0,5,2,3,0,0,544,0.9338235294117647
347,1953,36,501,0,5,2,3,0,0,547,0.9341864716636198
348,1957,36,496,0,6,2,3,0,0,543,0.9337016574585635
349,1961,36,492,0,6,2,3,0,0,539,0.9332096474953617
350,1968,36,485,0,6,2,3,0,0,532,0.9323308270676691
351,1972,36,482,0,5,2,3,0,0,528,0.9318181818181818
352,1966,36,488,0,5,2,3,0,0,534,0.9325842696629213
353,1960,36,493,0,6,2,3,0,0,540,0.9333333333333333
354,1956,36,497,0,6,2,3,0,0,544,0.9338235294117647
355,1959,36,494,0,6,2,3,0,0,541,0.933456561922366
356,1959,36,494,0,6,2,3,0,0,541,0.933456561922366
357,1955,36,498,0,6,2,3,0,0,545,0.9339449541284404
358,1950,36,503,0,6,2,3,0,0,550,0.9345454545454546
359,1951,36,502,0,6,2,3,0,0,549,0.9344262295081968
360,1954,35,500,0,6,2,3,0,0,546,0.9358974358974359
361,1954,35,500,0,6,2,3,0,0,546,0.9358974358974359
362,1961,35,493,0,6,2,3,0,0,539,0.935064935064935
363,1962,35,492,0,6,2,3,0,0,538,0.9349442379182156
364,1962,35,493,0,5,2,3,0,0,538,0.9349442379182156
