Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
140,1637,47,716,2,95,0,3,0,0,863,0.9455388180764774
141,1635,47,713,2,100,0,3,0,0,865,0.945664739884393
142,1627,47,718,2,103,0,3,0,0,873,0.9461626575028637
143,1621,47,722,2,105,0,3,0,0,879,0.9465301478953356
144,1618,47,722,2,108,0,3,0,0,882,0.9467120181405896
145,1612,47,726,2,110,0,3,0,0,888,0.9470720720720721
146,1602,47,727,2,118,0,3,0,1,898,0.9476614699331849
147,1601,47,725,2,121,0,3,0,1,899,0.9477196885428254
148,1598,47,725,2,124,0,3,0,1,902,0.9478935698447893
149,1594,47,724,2,129,0,3,0,1,906,0.9481236203090507
150,1593,47,724,2,130,0,3,0,1,907,0.948180815876516
151,1578,47,732,2,137,0,3,0,1,922,0.9490238611713666
152,1584,47,727,2,136,0,3,0,1,916,0.9486899563318777
153,1582,47,725,2,140,0,3,0,1,918,0.94880174291939
154,1571,47,730,2,146,0,3,0,1,929,0.9494079655543596
155,1565,47,725,2,157,0,3,0,1,935,0.9497326203208556
156,1565,47,722,2,160,0,3,0,1,935,0.9497326203208556
157,1559,47,720,2,168,0,3,0,1,941,0.9500531349628055
158,1556,47,725,2,166,0,3,0,1,944,0.9502118644067796
159,1550,46,724,2,173,1,3,0,1,950,0.9515789473684211
160,1550,46,722,2,175,1,3,0,1,950,0.9515789473684211
161,1547,46,720,2,180,1,3,0,1,953,0.9517313746065058
162,1540,46,721,2,186,1,3,0,1,960,0.9520833333333333
163,1541,46,715,2,191,1,3,0,1,959,0.9520333680917622
164,1550,46,708,2,189,1,3,0,1,950,0.9515789473684211
165,1536,46,715,2,195,1,3,0,2,964,0.9522821576763485
166,1535,46,712,2,199,1,3,0,2,965,0.9523316062176166
167,1525,46,712,2,208,1,3,0,3,975,0.9528205128205128
168,1523,46,710,2,212,1,3,0,3,977,0.9529170931422722
169,1523,46,714,2,207,1,3,0,4,977,0.9529170931422722
170,1519,46,715,2,210,1,3,0,4,981,0.9531090723751274
171,1508,46,714,2,221,1,3,0,5,992,0.9536290322580645
172,1505,46,711,2,227,1,3,0,5,995,0.9537688442211055
173,1500,46,710,2,232,1,3,0,6,1000,0.954
174,1502,46,703,2,237,1,3,0,6,998,0.9539078156312625
175,1499,46,705,2,236,1,3,0,8,1001,0.954045954045954
176,1494,46,706,2,240,1,3,0,8,1006,0.9542743538767395
177,1497,46,697,2,243,1,3,0,11,1003,0.9541375872382851
178,1483,46,700,2,253,1,3,0,12,1017,0.9547689282202556
179,1483,46,700,2,250,1,3,0,15,1017,0.9547689282202556
180,1471,46,705,2,255,1,3,0,17,1029,0.9552964042759962
181,1452,46,707,2,268,1,3,0,21,1048,0.9561068702290076
182,1448,46,703,2,273,1,3,0,24,1052,0.9562737642585551
183,1446,46,700,2,277,1,3,0,25,1054,0.9563567362428842
184,1448,46,699,2,275,1,3,0,26,1052,0.9562737642585551
185,1449,45,700,2,274,1,3,0,26,1051,0.9571836346336822
186,1441,45,703,2,279,1,3,0,26,1059,0.9575070821529745
187,1426,45,705,2,292,1,3,0,26,1074,0.9581005586592178
188,1414,45,703,2,304,1,3,0,28,1086,0.9585635359116023
189,1421,45,697,2,301,1,3,0,30,1079,0.9582947173308619
190,1424,45,686,2,305,1,3,0,34,1076,0.95817843866171
191,1425,45,678,2,313,1,3,0,33,1075,0.958139534883721
192,1416,45,677,2,319,1,3,0,37,1084,0.9584870848708487
193,1402,45,683,2,327,1,3,0,37,1098,0.9590163934426229
194,1402,45,679,2,328,1,3,0,40,1098,0.9590163934426229
195,1401,45,675,2,331,1,3,0,42,1099,0.9590536851683349
196,1385,45,682,2,340,1,3,0,42,1115,0.9596412556053812
197,1382,45,676,2,344,1,4,0,46,1118,0.9597495527728086
198,1385,45,672,2,344,1,4,0,47,1115,0.9596412556053812
199,1393,45,665,2,339,1,4,0,51,1107,0.959349593495935
200,1376,44,665,2,356,2,4,0,51,1124,0.9608540925266904
201,1370,44,663,2,363,2,4,0,52,1130,0.9610619469026549
202,1370,44,663,2,363,2,4,0,52,1130,0.9610619469026549
203,1347,44,666,2,380,2,4,0,55,1153,0.9618386816999133
204,1348,44,660,2,382,2,5,0,57,1152,0.9618055555555556
205,1361,43,654,2,373,2,4,0,61,1139,0.9622475856014048
206,1356,43,658,2,370,2,4,0,65,1144,0.9624125874125874
207,1369,43,656,2,358,2,4,0,66,1131,0.9619805481874447
208,1365,43,650,2,364,2,4,0,70,1135,0.9621145374449339
209,1332,43,654,2,389,2,4,0,74,1168,0.9631849315068494
210,1324,43,655,2,392,2,4,0,78,1176,0.9634353741496599
211,1316,43,659,2,394,2,4,0,80,1184,0.9636824324324325
212,1314,43,649,2,406,2,4,0,80,1186,0.9637436762225969
213,1315,43,644,2,408,2,4,0,82,1185,0.9637130801687763
214,1306,43,647,2,413,2,4,0,83,1194,0.9639865996649917
215,1295,43,655,2,412,2,4,0,87,1205,0.9643153526970955
216,1300,43,653,2,407,2,4,0,89,1200,0.9641666666666666
217,1294,43,651,2,413,2,4,0,91,1206,0.9643449419568823
