Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
154,1735,47,715,0,0,2,1,0,0,765,0.938562091503268
155,1733,47,717,0,0,2,1,0,0,767,0.9387222946544981
156,1729,47,721,0,0,2,1,0,0,771,0.9390402075226978
157,1723,47,727,0,0,2,1,0,0,777,0.9395109395109396
158,1724,47,726,0,0,2,1,0,0,776,0.9394329896907216
159,1716,47,734,0,0,2,1,0,0,784,0.9400510204081632
160,1708,47,742,0,0,2,1,0,0,792,0.9406565656565656
161,1708,47,742,0,0,2,1,0,0,792,0.9406565656565656
162,1704,47,746,0,0,2,1,0,0,796,0.9409547738693468
163,1700,47,750,0,0,2,1,0,0,800,0.94125
164,1700,47,750,0,0,2,1,0,0,800,0.94125
165,1695,47,755,0,0,2,1,0,0,805,0.9416149068322981
166,1693,47,757,0,0,2,1,0,0,807,0.9417596034696406
167,1690,47,760,0,0,2,1,0,0,810,0.9419753086419753
168,1686,47,764,0,0,2,1,0,0,814,0.9422604422604423
169,1685,47,765,0,0,2,1,0,0,815,0.9423312883435583
170,1682,47,768,0,0,2,1,0,0,818,0.9425427872860636
171,1677,47,773,0,0,2,1,0,0,823,0.9428918590522479
172,1671,47,779,0,0,2,1,0,0,829,0.9433051869722557
173,1672,47,778,0,0,2,1,0,0,828,0.9432367149758454
174,1669,47,781,0,0,2,1,0,0,831,0.9434416365824309
175,1668,47,782,0,0,2,1,0,0,832,0.9435096153846154
176,1659,47,791,0,0,2,1,0,0,841,0.9441141498216409
177,1651,47,799,0,0,2,1,0,0,849,0.944640753828033
178,1644,47,806,0,0,2,1,0,0,856,0.9450934579439252
179,1638,47,812,0,0,2,1,0,0,862,0.9454756380510441
180,1635,47,815,0,0,2,1,0,0,865,0.945664739884393
181,1632,47,818,0,0,2,1,0,0,868,0.945852534562212
182,1629,47,821,0,0,2,1,0,0,871,0.9460390355912744
183,1624,47,826,0,0,2,1,0,0,876,0.9463470319634704
184,1622,47,828,0,0,2,1,0,0,878,0.9464692482915718
185,1621,47,829,0,0,2,1,0,0,879,0.9465301478953356
186,1623,47,827,0,0,2,1,0,0,877,0.9464082098061574
187,1624,47,826,0,0,2,1,0,0,876,0.9463470319634704
188,1624,47,826,0,0,2,1,0,0,876,0.9463470319634704
189,1627,47,823,0,0,2,1,0,0,873,0.9461626575028637
190,1630,47,819,0,0,2,2,0,0,870,0.9459770114942528
191,1627,47,822,0,0,2,2,0,0,873,0.9461626575028637
192,1622,47,827,0,0,2,2,0,0,878,0.9464692482915718
193,1621,47,828,0,0,2,2,0,0,879,0.9465301478953356
